employment_type,emi_to_income_ratio,account_open_date,account_tenure_months,age,amount_income_term_score,annual_interest_rate,application_date,avg_combined_score,balance_utilization_score,behavior_score_gap,bureau_score,credit_card_utilization_pct,dpd_count_30_plus,dpd_max,dpd_recent_flag,loan_size_score,overdue_normalized,pos_transaction_volume,recovery_success_flag,risk_score,tenure_months
Self-Employed,,-0.048903777196563886,-0.06235867118053639,-0.07084866407784682,-0.17763803309866644,0.818114287785139,-0.03232572541966041,-0.15226908416622822,-0.204257895660926,0.09078913996982965,,0.19699988859425874,9.964466420479972,7.880178042492917,0.10423077131288788,-0.0055056745593802655,-0.035059719520132086,-0.12473739419687055,0.37304436209930836,0.28962539606655113,0.8443599155295353
Salaried,,-0.2048142590107045,-0.08282651102157552,-0.07069400245741164,0.1236408412378003,0.8328070564926153,-0.19311028186040932,0.1770043499514255,0.3983540222555296,-0.05154912733578711,,-0.09816902694362732,8.656921439590233,7.696879519943707,0.11396611916518186,-0.00762411804332884,-0.10820042932254348,-0.012938520430469017,0.351068429470811,-0.06655550487819538,0.8853029587474291
Self-Employed,,-0.051644758824977974,-0.060523027323167465,-0.039800517534156504,0.08972303517091923,0.39289311641629215,-0.007239240982742751,-0.17797377024017774,-0.024856491305965383,-0.05129027493816923,,-0.09834079796681991,8.557364254545567,7.2953264113580625,0.10455357933418384,0.04018284647929278,0.024608286432792913,0.19357637178595155,0.3649832239200628,-0.06656322697401962,-0.027314162884928737
Salaried,,0.17523345349169445,0.029335935158135824,-0.07167444312290017,-0.09439987381392831,0.7999239722759934,0.16009361810856343,0.02480161917722427,-0.021711768673577315,0.08949846132410046,,0.057619755158140405,9.429147539096054,7.729798291239762,0.10421068576644979,-0.1494227027507019,0.1842822277525937,0.07409173883658403,0.33780957477438633,0.040582556134254974,1.2479671054415638
Salaried,,0.07513814107817669,-0.0621649964141854,-0.09351873306184277,0.12499358506468504,-0.5449676610362731,0.0719783834210964,-0.03672113431467464,0.010164197619237939,0.2718185851503414,0.1841143090967232,-0.08000900742156965,10.019134533291005,8.408874948033615,0.10033620765593382,-0.0064585587114162875,0.023958573524981625,-0.030807538096006525,0.36315820573808144,0.15938635613651697,-0.5482307002573029
Salaried,,0.06986171691971375,-0.021472011787652172,-0.07055426094788916,0.1247732347323467,-0.18518680331383694,-0.007366048073892331,0.024536517115451954,0.009878853822703891,-0.1237144488712199,,-0.0627344123909857,6.8444780007231545,-2.2231067520362986,-0.7856912444785485,-0.005968487650214347,-0.03537548679402419,-0.1507042042832383,0.36453330505294645,-0.05003946351837982,0.008878446467178225
Salaried,,-0.0514955973728903,-0.04770982619212283,-0.07026280802212218,0.12333904052436692,0.9683619310050017,0.007238643434108694,0.026885004706856685,-0.20319942737163843,0.0731360677852731,,-0.0983028960060311,7.816275667701145,8.391242529247661,0.10112587418923871,0.12470563819977161,-0.034818294213500287,-0.031538050450248815,0.3605648609465177,0.04146414930101641,0.6683999659541514
Salaried,,-0.2048989364683613,-0.08379181018085353,-0.0706112960311136,-0.022327833623064036,1.1835887601163344,-0.1928663813074131,-0.035771649971255974,0.12367442511657886,-0.08055777361457978,-0.03957090420596933,-0.08016286287295489,8.829422661285717,-1.227022579661772,0.1007010354718841,0.17725838135765376,0.025976959632632378,-0.1508503113081334,0.3731543147971465,0.12486865577019243,0.6694497710660285
Salaried,,0.0719581816238405,-0.08931433872811845,-0.07072793863253467,0.12348809971166463,-0.47668200435684677,-0.007125934770542597,0.17658774040610076,-0.20206519671518128,-0.038105088448078805,,-0.20384626677184828,7.122469198774277,-2.7705469485052383,-0.7851715823693505,0.19415568091686553,-0.03248168111100873,-0.15134889153657907,0.3455393930269854,-0.06631745600724598,-0.5534602242290244
Salaried,,0.0706272614209501,-0.04738130441126561,0.08043193911794512,-0.022396159277507453,-0.4548209582336513,-0.008227971188411691,-0.10863804220357784,-0.025230881829445495,-0.03556845941427076,,-0.08176346017400112,8.970593704673135,8.063886220374545,0.10556633847657769,-0.06575922031376188,0.025429841124727876,-0.011602819199521755,0.3672087083871775,-0.0681839642590647,-0.5436099994661656
Salaried,,0.1762527907417563,-0.05953982628176157,0.19578240555536705,-0.08179307108232675,0.376616450453643,0.16006289594170958,0.026121901139995414,-0.2716824349759455,0.07403780492011497,,0.056046263880556474,7.123981080588605,7.270135871329008,0.10732507830326955,-0.06629575242679629,0.18302656748767565,-0.031328660049714505,0.3990476452946698,-0.06857166705427517,0.001699040272170646
Self-Employed,,0.17571844796213176,-0.047005424905674754,-0.2096498225036789,0.0894942089702959,0.939790126365497,0.040938771117061595,0.17647284292169813,-0.021455999510134646,-0.05146675291928389,,-0.08258894581149903,9.29010624148124,7.1770492209037124,0.10854515856418874,-0.09591745958061182,-0.036423858805274476,-0.012194500491277158,0.3796453763022978,-0.06801838077382273,1.241822796299325
Salaried,,0.21117411740482203,-0.061859397289962294,-0.03930690257824606,0.09054726707545288,0.3865681814924506,0.17694066914222323,0.09033532633705768,0.010650449140669028,-0.037000216658340024,-0.0788810099403245,-0.20359876700328566,8.397335205893606,8.64985035681635,0.10469354906044667,-0.09590765085008751,-0.08439567917094361,-0.0022085142334877955,0.3250038668906889,-0.03512338776383511,-0.09694598149789077
Salaried,,0.1752449351173845,-0.08278667254683773,0.15338037310135397,0.12383397571510188,-0.16157438049370404,0.16172845266457517,0.09212827768067532,0.39553447353050586,0.07291460195867751,-0.006227286928980862,0.12222462336806646,7.746815461042448,8.276758636196051,0.11397787425874573,-0.006151993345448492,-0.10787760290743502,-0.002710411450889587,0.3734062615941393,-0.07874845613118431,-0.3781976027790974
Salaried,,-0.005515418770423854,0.030059961102883684,0.19733682801636565,0.12293397071935602,0.8193692182906543,0.007806122357334539,0.09155401562725797,0.011275832519447911,0.07296747818466143,-0.006665583601321114,0.19669860896847058,7.688340198975041,-3.2381087937627484,0.11060073334618775,0.17771987060935324,0.02543281769245553,-0.14975537109862716,0.37419897722909723,-0.08120766702067062,0.8539175398492033
Salaried,,0.2104055274723989,-0.0835523947003806,0.15485848577334727,-0.17719943170340186,-0.49825428870232275,0.17857273821824743,0.09049345014532564,-0.20674802171234669,0.07262149305905366,-0.03941527650178035,0.12219769597872417,8.332354021924175,6.578697555294336,0.10058293332799352,0.17857742254589587,-0.038381847724470154,-0.1253536488811022,0.3502764124253133,0.12620519249725554,-0.5646957341234735
Salaried,,0.07602562581622545,-0.021125147683432922,-0.20888055546567288,-0.09300026826091269,0.9656464011184738,0.07259295340341236,-0.1790469728236326,-0.02150905414484234,-0.052255455618543015,,0.19664688721324564,8.450891064194817,7.7999246247673515,0.11332311460273277,0.17784812227604177,0.02577468028821248,0.19415104256314,0.4018014731871617,-0.06668617672578454,0.835844217811335
Self-Employed,,0.17681986804256758,-0.08363347145621984,-0.0701679769051718,-0.021416721468401616,0.20878643310797676,0.040192557469905986,-0.10850562523623702,0.12270591631831565,-0.08048932718973634,,0.05711839390640985,9.938104288045166,-0.5224225462151382,0.10090853444727604,0.17902211042477792,-0.036380189313158263,-0.12427538514601445,0.3641272221016548,-0.050626071337679227,-0.018401746661466448
